Exercício: 2015;;;;;;;
Escopo: Municípios do Estado - AM;;;;;;;
Tabela: Despesas Orçamentárias (Anexo I-D);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.1.91.00.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social;siconfi-cor_DI3.1.91.00.00.00;7797,49
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.1.91.13.00.00 - Contribuições Patronais;siconfi-cor_DI3.1.91.13.00.00;7797,49
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.1.91.13.99.00 - Outras Obrigações Patronais - Intraorçamentária;siconfi-cor_DI3.1.91.13.99.00;7797,49
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.00.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;10476578,47
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;10476578,47
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.14.00.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;343261,75
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.30.00.00 - Material de Consumo;siconfi-cor_DO3.3.90.30.00.00;2622635,97
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.32.00.00 - Material, Bem ou Serviço para Distribuição Gratuita;siconfi-cor_DO3.3.90.32.00.00;96643
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.33.00.00 - Passagens e Despesas com Locomoção;siconfi-cor_DO3.3.90.33.00.00;27968,4
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.35.00.00 - Serviços de Consultoria;siconfi-cor_DO3.3.90.35.00.00;294164,94
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.36.00.00 - Outros Serviços de Terceiros - Pessoa Física;siconfi-cor_DO3.3.90.36.00.00;3053901,11
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.39.00.00 - Outros Serviços de Terceiros - Pessoa Jurídica;siconfi-cor_DO3.3.90.39.00.00;2969359,97
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.47.00.00 - Obrigações Tributárias e Contributivas;siconfi-cor_DO3.3.90.47.00.00;410192,25
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.48.00.00 - Outros Auxílios Financeiros a Pessoas Físicas;siconfi-cor_DO3.3.90.48.00.00;117500
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.91.00.00 - Sentenças Judiciais;siconfi-cor_DO3.3.90.91.00.00;111010,02
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.92.00.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.3.90.92.00.00;360200,27
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;3.3.90.93.00.00 - Indenizações e Restituições;siconfi-cor_DO3.3.90.93.00.00;69740,79
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;4.0.00.00.00.00 - Despesas de Capital;siconfi-cor_DO4.0.00.00.00.00;1828023,14
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;4.4.00.00.00.00 - Investimentos;siconfi-cor_DO4.4.00.00.00.00;1294960,89
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;4.4.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO4.4.90.00.00.00;1294960,89
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;4.4.90.51.00.00 - Obras e Instalações;siconfi-cor_DO4.4.90.51.00.00;1224155,92
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;4.4.90.51.99.00 - Demais Obras e Instalações;siconfi-cor_DO4.4.90.51.99.00;1224155,92
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;4.4.90.52.00.00 - Equipamentos e Material Permanente;siconfi-cor_DO4.4.90.52.00.00;70804,97
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;4.6.00.00.00.00 - Amortização da Dívida;siconfi-cor_DO4.6.00.00.00.00;533062,25
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;4.6.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO4.6.90.00.00.00;533062,25
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Liquidadas;4.6.90.71.00.00 - Principal da Dívida Contratual Resgatado;siconfi-cor_DO4.6.90.71.00.00;533062,25
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;Total Geral da Despesa;siconfi-cor_TotalDespesas;35061520,29
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.0.00.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;33233497,15
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.00.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;22854036,68
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;22846239,19
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.90.04.00.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;6847775,16
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.90.11.00.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;14403626,14
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.90.13.00.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;139007,6
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.90.13.99.00 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;139007,6
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.90.92.00.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;1455830,29
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.91.00.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social;siconfi-cor_DI3.1.91.00.00.00;7797,49
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.91.13.00.00 - Contribuições Patronais;siconfi-cor_DI3.1.91.13.00.00;7797,49
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.1.91.13.99.00 - Outras Obrigações Patronais - Intraorçamentária;siconfi-cor_DI3.1.91.13.99.00;7797,49
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.00.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;10379460,47
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;10379460,47
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.14.00.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;343261,75
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.30.00.00 - Material de Consumo;siconfi-cor_DO3.3.90.30.00.00;2622635,97
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.33.00.00 - Passagens e Despesas com Locomoção;siconfi-cor_DO3.3.90.33.00.00;27968,4
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.35.00.00 - Serviços de Consultoria;siconfi-cor_DO3.3.90.35.00.00;294164,94
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.36.00.00 - Outros Serviços de Terceiros - Pessoa Física;siconfi-cor_DO3.3.90.36.00.00;3053901,11
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.39.00.00 - Outros Serviços de Terceiros - Pessoa Jurídica;siconfi-cor_DO3.3.90.39.00.00;2968884,97
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.47.00.00 - Obrigações Tributárias e Contributivas;siconfi-cor_DO3.3.90.47.00.00;410192,25
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.48.00.00 - Outros Auxílios Financeiros a Pessoas Físicas;siconfi-cor_DO3.3.90.48.00.00;117500
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.91.00.00 - Sentenças Judiciais;siconfi-cor_DO3.3.90.91.00.00;111010,02
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.92.00.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.3.90.92.00.00;360200,27
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;3.3.90.93.00.00 - Indenizações e Restituições;siconfi-cor_DO3.3.90.93.00.00;69740,79
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;4.0.00.00.00.00 - Despesas de Capital;siconfi-cor_DO4.0.00.00.00.00;1828023,14
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;4.4.00.00.00.00 - Investimentos;siconfi-cor_DO4.4.00.00.00.00;1294960,89
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;4.4.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO4.4.90.00.00.00;1294960,89
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;4.4.90.51.00.00 - Obras e Instalações;siconfi-cor_DO4.4.90.51.00.00;1224155,92
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;4.4.90.51.99.00 - Demais Obras e Instalações;siconfi-cor_DO4.4.90.51.99.00;1224155,92
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;4.4.90.52.00.00 - Equipamentos e Material Permanente;siconfi-cor_DO4.4.90.52.00.00;70804,97
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;4.6.00.00.00.00 - Amortização da Dívida;siconfi-cor_DO4.6.00.00.00.00;533062,25
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;4.6.90.00.00.00 - Aplicações Diretas;siconfi-cor_DO4.6.90.00.00.00;533062,25
Prefeitura Municipal de Beruri - AM;1300631;AM;17755;Despesas Pagas;4.6.90.71.00.00 - Principal da Dívida Contratual Resgatado;siconfi-cor_DO4.6.90.71.00.00;533062,25
